pdx_arch,bck_arch,sig_cos_sim
A0,A0,0.2137730969022641
A1,A3,0.23661169702245755
A2,A6,0.2854996671232602
A3,A2,0.6967653156329878
A4,A4,0.5926908527801119
A5,A5,0.6332962884032179
A6,A1,0.49036036169793235
